[31-Jan-2017 14:36:10 UTC] ssssssss
[31-Jan-2017 14:36:12 UTC] ssssssss
[01-Feb-2017 16:23:30 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 213
[01-Feb-2017 16:23:30 UTC] PHP Warning:  array_intersect(): Argument #2 is not an array in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 214
[01-Feb-2017 16:24:46 UTC] PHP Warning:  strpos() expects parameter 1 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 205
[01-Feb-2017 16:24:46 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 213
[01-Feb-2017 16:24:46 UTC] PHP Warning:  array_intersect(): Argument #2 is not an array in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 214
[01-Feb-2017 16:24:46 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\index.php on line 12
[01-Feb-2017 16:24:56 UTC] PHP Warning:  strpos() expects parameter 1 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 205
[01-Feb-2017 16:24:56 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 213
[01-Feb-2017 16:24:56 UTC] PHP Warning:  array_intersect(): Argument #2 is not an array in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 214
[01-Feb-2017 16:24:56 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\index.php on line 12
[01-Feb-2017 16:25:21 UTC] PHP Warning:  strpos() expects parameter 1 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 205
[01-Feb-2017 16:25:21 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 213
[01-Feb-2017 16:25:21 UTC] PHP Warning:  array_intersect(): Argument #2 is not an array in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 214
[01-Feb-2017 16:25:23 UTC] PHP Warning:  strpos() expects parameter 1 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 205
[01-Feb-2017 16:25:23 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 213
[01-Feb-2017 16:25:23 UTC] PHP Warning:  array_intersect(): Argument #2 is not an array in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 214
[01-Feb-2017 16:25:29 UTC] PHP Warning:  strpos() expects parameter 1 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 205
[01-Feb-2017 16:25:29 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, array given in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 213
[01-Feb-2017 16:25:29 UTC] PHP Warning:  array_intersect(): Argument #2 is not an array in C:\xampp\htdocs\WP_MP\wp-includes\shortcodes.php on line 214
[01-Feb-2017 16:54:19 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\WP_MP\wp-includes\class-wp-query.php on line 3080
[02-Feb-2017 15:23:53 UTC] PHP Notice:  Undefined index: text in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 20
[02-Feb-2017 15:37:39 UTC] PHP Parse error:  syntax error, unexpected ''</li>' (T_ENCAPSED_AND_WHITESPACE) in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 39
